"","entidad","anio","acceso_electrd","acceso_combust_limpios","cap_instald_energ_renov","finan_paises_desarr","energ_renov","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","electrd_de_f_bajas_carb","consumo_energ_prim","nivel_intens_energ_prim","emisiones_CO2","renovables","crecimiento_PIB","PIB_per_cap","densidad_pobl_Km2","superficie","latitud","longitud"
"2437","Trinidad and Tobago",2000,91.29,100,4.22,NA,0.76,5.11,0,0.03,0.5836576,89203.08,19.47,10200,0.054040425,6.901359591,6435.134212,273,5128,10.691803,-61.222503
"2438","Trinidad and Tobago",2001,96.93202,100,4.46,NA,0.71,5.27,0,0.03,0.5660377,95790.32,20.76,11620,0.07365426,4.168523982,6939.828471,273,5128,10.691803,-61.222503
"2439","Trinidad and Tobago",2002,97.123146,100,4.6,NA,0.69,5.27,0,0.03,0.5660377,103376.06,20.78,12680.00031,0.06166655,7.936709687,7053.087371,273,5128,10.691803,-61.222503
"2440","Trinidad and Tobago",2003,97.30902,100,4.85,NA,0.6,6.02,0,0.03,0.49586776,115246.71,20.45,15449.99981,0.02733469,14.44098954,8807.866068,273,5128,10.691803,-61.222503
"2441","Trinidad and Tobago",2004,97.49202,100,5.16,NA,0.6,6.01,0,0.03,0.49668875,126030.695,19.36,16100.00038,0.046458136,7.950051511,10293.86925,273,5128,10.691803,-61.222503
"2442","Trinidad and Tobago",2005,97.67448,100,5.22,NA,0.54,6.6,0,0.04,0.60240966,134353.78,21.26,17590.00015,0.041819725,6.20893788,12327.28071,273,5128,10.691803,-61.222503
"2443","Trinidad and Tobago",2006,100,100,5.36,NA,0.55,6.71,0,0.04,0.5925926,156027.7,20.95,20059.99947,0.04218804,13.20805861,14102.59329,273,5128,10.691803,-61.222503
"2444","Trinidad and Tobago",2007,100,100,5.43,NA,0.45,7.19,0,0.03,0.41551247,159970.84,21.29,20500,0.031051729,4.754209701,16539.89075,273,5128,10.691803,-61.222503
"2445","Trinidad and Tobago",2008,100,100,1.73,NA,0.46,7.26,0,0,0,156718.94,19.97,20020.00046,0.03328308,3.391737078,21204.00818,273,5128,10.691803,-61.222503
"2446","Trinidad and Tobago",2009,99,100,1.91,NA,0.49,7.37,0,0,0,154489.58,20.97,19040.00092,0.032574173,-4.391729247,14514.24061,273,5128,10.691803,-61.222503
