"region","electrd_fosiles","electrd_nuclear","electrd_de_energ_renov","crecimiento_PIB","emisiones_CO2","densidad_pobl_Km2","consumo_energ_prim","superficie"
"Caribe",5.11,0,0.03,6.901359591,10200,273,89203.08,5128
"Caribe",5.27,0,0.03,4.168523982,11620,273,95790.32,5128
"Caribe",5.27,0,0.03,7.936709687,12680.00031,273,103376.06,5128
"Caribe",6.02,0,0.03,14.44098954,15449.99981,273,115246.71,5128
"Caribe",6.01,0,0.03,7.950051511,16100.00038,273,126030.695,5128
"Caribe",6.6,0,0.04,6.20893788,17590.00015,273,134353.78,5128
"Caribe",6.71,0,0.04,13.20805861,20059.99947,273,156027.7,5128
"Caribe",7.19,0,0.03,4.754209701,20500,273,159970.84,5128
"Caribe",7.26,0,0,3.391737078,20020.00046,273,156718.94,5128
"Caribe",7.37,0,0,-4.391729247,19040.00092,273,154489.58,5128
"Caribe",7.97,0,0,3.32322471,21459.99908,273,165831.28,5128
"Caribe",8.24,0,0,-0.294354409,22260.00023,273,161740.31,5128
"Caribe",8.58,0,0,1.269964365,21520.00046,273,158071.06,5128
"Caribe",8.94,0,0,2.229074805,22209.99908,273,159847.2,5128
"Caribe",8.85,0,0,-0.912544969,22040.00092,273,157936.94,5128
"Caribe",9,0,0.01,1.483781034,21329.99992,273,152244.28,5128
"Caribe",8.85,0,0.01,-5.601818139,18309.99947,273,134233.72,5128
"Caribe",8.76,0,0.01,-2.987340197,18250,273,141542.45,5128
"Caribe",8.67,0,0.01,0.066049775,17780.00069,273,131650.61,5128
"Caribe",8.63,0,0.01,-1.246427336,17190.00053,273,123712.94,5128
"Caribe",5.76,0,0.46,0.878703548,10060,273,16542.139,10991
"Caribe",5.85,0,0.41,1.344929564,10080,273,16699.781,10991
"Caribe",6.07,0,0.46,1.997290944,10250,273,16544.623,10991
"Caribe",6.23,0,0.5,3.666317593,10590.00015,273,17159.158,10991
"Caribe",6.25,0,0.54,1.3237251,10569.99969,273,16704.465,10991
"Caribe",6.4,0,0.59,0.893797936,10560.00042,273,17141.955,10991
"Caribe",6.43,0,0.6,2.89912535,12060.00042,273,19489.295,10991
"Caribe",5.09,0,0.52,1.431954037,12020.00046,273,19765.36,10991
"Caribe",3.57,0,0.43,-0.811736703,9619.999886,273,16746.21,10991
"Caribe",3.64,0,0.42,-4.345301858,7880.000114,273,13112.701,10991
"Caribe",3.55,0,0.41,-1.457147209,7480.000019,273,11996.119,10991
"Caribe",3.56,0,0.45,1.730376267,7530.00021,273,12652.353,10991
"Caribe",3.46,0,0.47,-0.61363604,6960.000038,273,11797.367,10991
"Caribe",3.5,0,0.43,0.517686013,7400.000095,273,12772.726,10991
"Caribe",3.45,0,0.46,0.689822357,7190.000057,273,12533.961,10991
"Caribe",3.45,0,0.46,0.921487125,7090.000153,273,12881.866,10991
"Caribe",3.63,0,0.5,1.375223064,7570.000172,273,13296.951,10991
"Caribe",3.5,0,0.6,0.997123062,7219.99979,273,11942.507,10991
"Caribe",3.48,0,0.69,1.889923681,8609.999657,273,12335.036,10991
"Caribe",3.6,0,0.65,0.892291654,8390.000343,273,15387.241,10991
"Caribe",14.1,0,0.09,5.914760174,28350,106,9883.993,110860
"Caribe",14.37,0,0.07,3.185029904,27470,106,9075.244,110860
"Caribe",14.71,0,0.1,1.424821261,26420.00008,106,9158.403,110860
"Caribe",14.79,0,0.13,3.792740223,25629.99916,106,9271.938,110860
"Caribe",14.66,0,0.09,5.77053807,25360.00061,106,9365.984,110860
"Caribe",11.88,0,2.57,11.20165642,26319.99969,106,9199.146,110860
"Caribe",13.96,0,1.54,12.06586311,26780.00069,106,8954.739,110860
"Caribe",14.67,0,1.93,7.262136966,27680.00031,106,9036.614,110860
"Caribe",14.7,0,1.97,4.116828042,26750,106,10330.99,110860
"Caribe",14.82,0,1.89,1.451305431,26979.99954,106,10402.473,110860
"Caribe",14.66,0,1.73,2.390352297,28110.00061,106,11812.895,110860
"Caribe",14.99,0,1.74,2.802300836,27590.00015,106,10603.101,110860
"Caribe",15.55,0,1.82,3.014900289,28690.00053,106,11529.463,110860
"Caribe",16.4,0,1.77,2.747602563,28870.00084,106,11073.984,110860
"Caribe",16.52,0,1.8,1.047576632,26690.00053,106,11257.336,110860
"Caribe",17.37,0,1.85,4.438141959,29209.99908,106,11280.011,110860
"Caribe",17.64,0,1.74,0.513761468,27170.00008,106,8800.3,110860
"Caribe",17.57,0,1.82,1.809054399,26239.99977,106,9358.279,110860
"Caribe",17.64,0,2,2.248480393,26709.99908,106,9819.157,110860
"Caribe",16.54,0,2.99,-0.164839982,25909.99985,106,9606.213,110860
"Oceania",1.14,0,0.97,-2.494841993,2830,20,2747.3433,462840
"Oceania",1.59,0,1,-0.121288606,3390,20,3037.2134,462840
"Oceania",1.76,0,1,-0.158900533,3609.999895,20,3073.6719,462840
"Oceania",2.03,0,1.07,2.164102502,4079.999924,20,3376.0618,462840
"Oceania",2.14,0,1.04,2.721175741,4949.999809,20,3651.7664,462840
"Oceania",2.05,0,1.28,6.344795923,4929.999828,20,3417.0745,462840
"Oceania",2,0,1.25,5.409944091,4780.00021,20,3393.2031,462840
"Oceania",2,0,1.34,7.815189229,5050.000191,20,3544.4324,462840
"Oceania",1.94,0,1.34,-0.296457846,4760.000229,20,3056.953,462840
"Oceania",2.03,0,1.32,6.800421483,5030.00021,20,3259.054,462840
"Oceania",2.07,0,1.32,10.12845407,5019.999981,20,2867.5837,462840
"Oceania",2.11,0,1.42,1.107543626,5159.999847,20,2917.4312,462840
"Oceania",2.18,0,1.43,4.657119597,4889.999866,20,2741.8088,462840
"Oceania",2.35,0,1.47,3.824946328,5239.999771,20,2730.9343,462840
"Oceania",2.53,0,1.49,13.54377062,5889.999866,20,2816.4016,462840
"Oceania",2.67,0,1.48,6.578356323,6510.000229,20,3170.5203,462840
"Oceania",2.79,0,1.48,5.489573153,7659.999847,20,3283.4167,462840
"Oceania",2.99,0,1.27,3.534610818,7610.000134,20,3098.1384,462840
"Oceania",3.13,0,1.27,-0.279252285,7559.999943,20,3150.1516,462840
"Oceania",3.16,0,1.28,4.480430608,7579.999924,20,3159.5166,462840
"Oceania",181.05,0,17.11,3.912427733,339450,3,68632.96,7741220
"Oceania",194.33,0,17.4,2.038300732,345640,3,68338.28,7741220
"Oceania",197.29,0,17.35,4.014526654,353369.9951,3,68892.78,7741220
"Oceania",195.13,0,18.5,3.110325109,352579.9866,3,69082.79,7741220
"Oceania",203.66,0,19.41,4.205446887,365809.9976,3,70486.32,7741220
"Oceania",195.95,0,19.75,3.160338325,370089.9963,3,69917.164,7741220
"Oceania",198.72,0,21.19,2.726893446,375489.9902,3,71863.76,7741220
"Oceania",208.59,0,20.93,3.768487516,385750,3,72304.695,7741220
"Oceania",211.06,0,18.49,3.577014878,388940.0024,3,72089.34,7741220
"Oceania",216.42,0,18.32,1.86683207,395290.0085,3,69689.84,7741220
"Oceania",212.5,0,21.13,2.172337091,387540.0085,3,68523.875,7741220
"Oceania",213.56,0,27.33,2.469746294,386380.0049,3,69714.19,7741220
"Oceania",206.75,0,26.63,3.917362463,386970.0012,3,67583.03,7741220
"Oceania",195.78,0,34.2,2.600211881,380279.9988,3,67307.04,7741220
"Oceania",205.46,0,36.15,2.562931521,371630.0049,3,66744.195,7741220
"Oceania",197.72,0,33.12,2.172204753,377799.9878,3,67234.93,7741220
"Oceania",207.66,0,38.41,2.741643069,384989.9902,3,66407.09,7741220
"Oceania",209.14,0,40.77,2.295926947,389160.0037,3,65146.316,7741220
"Oceania",207.45,0,42.93,2.87097248,387070.0073,3,65072.668,7741220
"Oceania",196.45,0,53.41,2.113149425,386529.9988,3,66263.54,7741220
"Oceania",0.05,0,0.05,6.918794454,150,70,5050.979,2831
"Oceania",0.05,0,0.06,6.939761793,160,70,5352.6963,2831
"Oceania",0.05,0,0.07,4.343996108,170.0000018,70,5618.493,2831
"Oceania",0.05,0,0.06,4.515482455,170.0000018,70,5643.448,2831
"Oceania",0.05,0,0.06,4.625000762,189.9999976,70,5624.824,2831
"Oceania",0.05,0,0.06,4.156489543,209.9999934,70,5678.59,2831
"Oceania",0.06,0,0.05,1.968808341,200.000003,70,5844.4766,2831
"Oceania",0.06,0,0.05,6.322644804,200.000003,70,6201.1836,2831
"Oceania",0.06,0,0.05,1.009087755,170.0000018,70,6318.109,2831
"Oceania",0.06,0,0.05,-4.808273849,180.0000072,70,6564.24,2831
"Oceania",0.06,0,0.05,0.467245822,189.9999976,70,6500.349,2831
"Oceania",0.07,0,0.05,4.103640825,200.000003,70,6521.698,2831
"Oceania",0.07,0,0.04,-4.084494013,200.000003,70,6256.2554,2831
"Oceania",0.08,0,0.03,-0.342327336,200.000003,70,6016.6445,2831
"Oceania",0.09,0,0.03,0.052170614,209.9999934,70,6062.045,2831
"Oceania",0.09,0,0.04,4.296880765,239.9999946,70,6971.546,2831
"Oceania",0.09,0,0.05,8.126249353,300.0000119,70,7356.9272,2831
"Oceania",0.09,0,0.05,1.042433719,310.0000024,70,7347.693,2831
"Oceania",0.09,0,0.06,-1.233162407,289.9999917,70,7217.7256,2831
"Oceania",0.09,0,0.06,4.379825545,300.0000119,70,7697.959,2831
